CD	CSPA category	is CD	ENTREZ ac	ENTREZ gene symbol	Experiment tag	ID link	UP entry name	celltype (Table!S4!statistics$1)	Count Detection In Different Cell Types	Num Unique Peps	Organism	Protein Probability
CD105	1 - high confidence	CD	13805	Eng	Adipocytes subcutaneous	Q63961	EGLN_MOUSE		9	1	Mouse	0.9959
CD106	1 - high confidence	CD	22329	Vcam1	Adipocytes subcutaneous	P29533	VCAM1_MOUSE		16	1	Mouse	0.9588
CD107a	1 - high confidence	CD	16783	Lamp1	Adipocytes subcutaneous	P11438	LAMP1_MOUSE		28	1	Mouse	0.9952
CD14	1 - high confidence	CD	12475	Cd14	Adipocytes subcutaneous	P10810	CD14_MOUSE		11	1	Mouse	0.9952
CD144	1 - high confidence	CD	12562	Cdh5	Adipocytes subcutaneous	P55284	CADH5_MOUSE		3	1	Mouse	0.9915
CD156c	1 - high confidence	CD	11487	Adam10	Adipocytes subcutaneous	O35598	ADA10_MOUSE		27	1	Mouse	0.9959
CD169	1 - high confidence	CD	20612	Siglec1	Adipocytes subcutaneous	Q62230	SN_MOUSE		6	1	Mouse	0.9895
CD171	1 - high confidence	CD	16728	L1cam	Adipocytes subcutaneous	P11627	L1CAM_MOUSE		25	1	Mouse	0.9867
CD172a	1 - high confidence	CD	19261	Sirpa	Adipocytes subcutaneous	P97797	SHPS1_MOUSE		25	1	Mouse	0.9952
CD18	1 - high confidence	CD	16414	Itgb2	Adipocytes subcutaneous	P11835	ITB2_MOUSE		13	1	Mouse	0.9792
CD200	1 - high confidence	CD	17470	Cd200	Adipocytes subcutaneous	O54901	OX2G_MOUSE		13	1	Mouse	0.9955
CD203c	1 - high confidence	CD	209558	Enpp3	Adipocytes subcutaneous	Q6DYE8	ENPP3_MOUSE		16	1	Mouse	0.9947
CD220	1 - high confidence	CD	16337	Insr	Adipocytes subcutaneous	P15208	INSR_MOUSE		31	1	Mouse	0.9959
CD230	1 - high confidence	CD	19122	Prnp	Adipocytes subcutaneous	P04925	PRIO_MOUSE		30	1	Mouse	0.9959
CD298	1 - high confidence	CD	11933	Atp1b3	Adipocytes subcutaneous	P97370	AT1B3_MOUSE		30	1	Mouse	0.9959
CD315	1 - high confidence	CD	19221	Ptgfrn	Adipocytes subcutaneous	Q9WV91	FPRP_MOUSE		24	1	Mouse	0.9959
CD317	1 - high confidence	CD	69550	Bst2	Adipocytes subcutaneous	Q8R2Q8	BST2_MOUSE		27	1	Mouse	0.9959
CD321	1 - high confidence	CD	16456	F11r	Adipocytes subcutaneous	O88792	JAM1_MOUSE		25	1	Mouse	0.9959
CD48	1 - high confidence	CD	12506	Cd48	Adipocytes subcutaneous	P18181	CD48_MOUSE		8	1	Mouse	0.9915
CD54	1 - high confidence	CD	15894	Icam1	Adipocytes subcutaneous	P13597	ICAM1_MOUSE		28	1	Mouse	0.9933
CD64	1 - high confidence	CD	14129	Fcgr1	Adipocytes subcutaneous	P26151	FCGR1_MOUSE		4	1	Mouse	0.9609
CD73	1 - high confidence	CD	23959	Nt5e	Adipocytes subcutaneous	Q61503	5NTD_MOUSE		21	1	Mouse	0.9939
no	1 - high confidence	non CD	232345	A2m	Adipocytes subcutaneous	Q61838	A2M_MOUSE		6	1	Mouse	0.9449
no	1 - high confidence	non CD	18671	Abcb1a	Adipocytes subcutaneous	P21447	MDR3_MOUSE		2	1	Mouse	0.9927
no	1 - high confidence	non CD	11432	Acp2	Adipocytes subcutaneous	P24638	PPAL_MOUSE		15	1	Mouse	0.9955
no	1 - high confidence	non CD	11647	Alpl	Adipocytes subcutaneous	P09242	PPBT_MOUSE		21	1	Mouse	0.9959
no	1 - high confidence	non CD	66695	Aspn	Adipocytes subcutaneous	Q99MQ4	ASPN_MOUSE		2	1	Mouse	0.9959
no	1 - high confidence	non CD	11932	Atp1b2	Adipocytes subcutaneous	P14231	AT1B2_MOUSE		21	1	Mouse	0.9951
no	1 - high confidence	non CD	57278	Bcam	Adipocytes subcutaneous	Q9R069	BCAM_MOUSE		10	1	Mouse	0.9955
no	1 - high confidence	non CD	12259	C1qa	Adipocytes subcutaneous	P98086	C1QA_MOUSE		4	1	Mouse	0.9959
no	1 - high confidence	non CD	54598	Calcrl	Adipocytes subcutaneous	Q9R1W5	CALRL_MOUSE		22	1	Mouse	0.9959
