CD,CSPA category,is CD,ENTREZ ac,ENTREZ gene symbol,Experiment tag,ID link,UP entry name,celltype (Table!S4!statistics$1),Count Detection In Different Cell Types,Num Unique Peps,Organism,Protein Probability
no,,non CD,4629,MYH11,Adipocytes,P35749,MYH11_HUMAN,,1,1,Human,0.9941
no,,non CD,5478,PPIA,SU4 (SU-DHL-4),P62937,PPIA_HUMAN,,11,1,Human,0.9425
CD112,1 - high confidence,CD,5819,PVRL2,Adipocytes,Q92692,PVRL2_HUMAN,,8,1,Human,0.9941
CD119,1 - high confidence,CD,3459,IFNGR1,Adipocytes,P15260,INGR1_HUMAN,,30,1,Human,0.9941
CD11c,1 - high confidence,CD,3687,ITGAX,Adipocytes,P20702,ITAX_HUMAN,,6,1,Human,0.9941
CD170,1 - high confidence,CD,8778,SIGLEC5,Adipocytes,O15389,SIGL5_HUMAN,,7,1,Human,0.9941
CD200,1 - high confidence,CD,4345,CD200,Adipocytes,P41217,OX2G_HUMAN,,17,1,Human,0.9918
CD201,1 - high confidence,CD,10544,PROCR,Adipocytes,Q9UNN8,EPCR_HUMAN,,26,1,Human,0.9872
CD203c,1 - high confidence,CD,5169,ENPP3,Adipocytes,O14638,ENPP3_HUMAN,,3,1,Human,0.9724
CD23,1 - high confidence,CD,2208,FCER2,Adipocytes,P06734,FCER2_HUMAN,,10,1,Human,0.9455
CD230,1 - high confidence,CD,5621,PRNP,Adipocytes,P04156,PRIO_HUMAN,,46,1,Human,0.9941
CD280,1 - high confidence,CD,9902,MRC2,Adipocytes,Q9UBG0,MRC2_HUMAN,,28,1,Human,0.9752
CD304,1 - high confidence,CD,8829,NRP1,Adipocytes,O14786,NRP1_HUMAN,,27,1,Human,0.9941
CD305,1 - high confidence,CD,3903,LAIR1,Adipocytes,Q6GTX8,LAIR1_HUMAN,,11,1,Human,0.9941
CD316,1 - high confidence,CD,93185,IGSF8,Adipocytes,Q969P0,IGSF8_HUMAN,,36,1,Human,0.9941
CD325,1 - high confidence,CD,1000,CDH2,Adipocytes,P19022,CADH2_HUMAN,,27,1,Human,0.847
CD344,1 - high confidence,CD,8322,FZD4,Adipocytes,Q9ULV1,FZD4_HUMAN,,1,1,Human,0.9941
CD40,1 - high confidence,CD,958,CD40,Adipocytes,P25942,TNR5_HUMAN,,25,1,Human,0.993
CD50,1 - high confidence,CD,3385,ICAM3,Adipocytes,P32942,ICAM3_HUMAN,,17,1,Human,0.9786
CD56,1 - high confidence,CD,4684,NCAM1,Adipocytes,P13591,NCAM1_HUMAN,,27,1,Human,0.9924
CD58,1 - high confidence,CD,965,CD58,Adipocytes,P19256,LFA3_HUMAN,,40,1,Human,0.9924
CD62P,1 - high confidence,CD,6403,SELP,Adipocytes,P16109,LYAM3_HUMAN,,2,1,Human,0.993
CD68,1 - high confidence,CD,968,CD68,Adipocytes,P34810,CD68_HUMAN,,3,1,Human,0.9907
CD71,1 - high confidence,CD,7037,TFRC,Adipocytes,P02786,TFR1_HUMAN,,38,1,Human,0.9941
CD87,1 - high confidence,CD,5329,PLAUR,Adipocytes,Q03405,UPAR_HUMAN,,27,1,Human,0.9941
CD92,1 - high confidence,CD,23446,SLC44A1,Adipocytes,Q8WWI5,CTL1_HUMAN,,13,1,Human,0.9652
no,1 - high confidence,non CD,25890,ABI3BP,Adipocytes,Q7Z7G0,TARSH_HUMAN,,2,1,Human,0.9936
no,1 - high confidence,non CD,54507,ADAMTSL4,Adipocytes,Q6UY14,ATL4_HUMAN,,3,1,Human,0.9941
