"","x"
"1",""
"2","ABCA1"
"3","ABCA12"
"4","ABCA13"
"5","ABCA2"
"6","ABCA3"
"7","ABCA4"
"8","ABCA5"
"9","ABCA6"
"10","ABCA7"
"11","ABCA8"
"12","ABCA9"
"13","ABCB1"
"14","ABCB11"
"15","ABCB4"
"16","ABCB5"
"17","ABCB9"
"18","ABCC1"
"19","ABCC10"
"20","ABCC11"
"21","ABCC12"
"22","ABCC2"
"23","ABCC3"
"24","ABCC4"
"25","ABCC5"
"26","ABCC9"
"27","ABCG2"
"28","ABCG4"
"29","ABCG5"
"30","ACE"
"31","ACE2"
"32","ACHE"
"33","ACKR1"
"34","ACKR2"
"35","ACKR3"
"36","ACKR4"
"37","ACP2"
"38","ACPT"
"39","ACVR1"
"40","ACVR1B"
"41","ACVR1C"
"42","ACVR2A"
"43","ACVR2B"
"44","ACVRL1"
"45","ADAM10"
"46","ADAM11"
"47","ADAM12"
"48","ADAM15"
"49","ADAM17"
"50","ADAM18"
"51","ADAM19"
"52","ADAM2"
"53","ADAM20"
"54","ADAM21"
"55","ADAM22"
"56","ADAM23"
"57","ADAM28"
"58","ADAM29"
"59","ADAM30"
"60","ADAM32"
"61","ADAM33"
"62","ADAM7"
"63","ADAM8"
"64","ADAM9"
"65","ADCY2"
"66","ADCY3"
"67","ADCY5"
"68","ADCY6"
"69","ADCY7"
"70","ADCY9"
"71","ADCYAP1R1"
"72","ADGRE2"
"73","ADGRE5"
"74","ADIPOR2"
"75","ADORA1"
"76","ADORA2A"
"77","ADORA2B"
"78","ADORA3"
"79","ADRA1A"
"80","ADRA1B"
"81","ADRA1D"
"82","ADRA2A"
"83","ADRA2B"
"84","ADRA2C"
"85","ADRB1"
"86","ADRB2"
"87","ADRB3"
"88","AGER"
"89","AGTR1"
"90","AGTR2"
"91","AJAP1"
"92","ALCAM"
"93","ALK"
"94","ALPI"
"95","ALPL"
"96","ALPP"
"97","ALPPL2"
"98","AMHR2"
"99","AMICA1"
"100","AMIGO1"
"101","AMIGO2"
"102","AMIGO3"
"103","AMN"
"104","ANKH"
"105","ANO1"
"106","ANO2"
"107","ANO3"
"108","ANO5"
"109","ANO6"
"110","ANO7"
"111","ANO9"
"112","ANPEP"
"113","ANTXR1"
"114","ANTXR2"
"115","ANTXRL"
"116","AOC3"
"117","APCDD1"
"118","APLNR"
"119","APLP1"
"120","APLP2"
"121","APP"
"122","AQP1"
"123","AQP10"
"124","AQP2"
"125","AQP4"
"126","AQP5"
"127","AQP8"
"128","AQP9"
"129","AREG"
"130","ART1"
"131","ART3"
"132","ART4"
"133","ASGR1"
"134","ASGR2"
"135","ASIC1"
"136","ASIC4"
"137","ASIC5"
"138","ASTN1"
"139","ASTN2"
"140","ATG9A"
"141","ATP13A1"
"142","ATP13A2"
"143","ATP13A3"
"144","ATP13A5"
"145","ATP1A1"
"146","ATP1A2"
"147","ATP1A3"
"148","ATP1A4"
"149","ATP1B1"
"150","ATP1B2"
"151","ATP1B3"
"152","ATP1B4"
"153","ATP2B2"
"154","ATP2B3"
"155","ATP2B4"
"156","ATP4B"
"157","ATP6V0A2"
"158","ATRAID"
"159","ATRN"
"160","ATRNL1"
"161","AVPR1A"
"162","AVPR1B"
"163","AVPR2"
"164","AXL"
"165","B3GAT1"
"166","BACE1"
"167","BACE2"
"168","BAI1"
"169","BAI2"
"170","BAI3"
"171","BAMBI"
"172","BCAM"
"173","BCAN"
"174","BDKRB1"
"175","BDKRB2"
"176","BEST2"
"177","BEST4"
"178","BMPR1A"
"179","BMPR1B"
"180","BMPR2"
"181","BOC"
"182","BRS3"
"183","BSG"
"184","BST1"
"185","BST2"
"186","BTC"
"187","BTLA"
"188","BTN1A1"
"189","BTN2A1"
"190","BTN2A2"
"191","BTN2A3P"
"192","BTN3A1"
"193","BTN3A2"
"194","BTN3A3"
"195","BTNL10"
"196","BTNL3"
"197","BTNL9"
"198","BVES"
"199","C10orf54"
"200","C11orf24"
"201","C11orf87"
"202","C14orf132"
"203","C14orf37"
"204","C16orf52"
"205","C19orf18"
"206","C1orf101"
"207","C1orf159"
"208","C1orf233"
"209","C1orf85"
"210","C3AR1"
"211","C3orf80"
"212","C5AR1"
"213","C5AR2"
"214","CA12"
"215","CA14"
"216","CA4"
"217","CACHD1"
"218","CACNA1C"
"219","CACNA1G"
"220","CACNA1I"
"221","CACNG1"
"222","CACNG2"
"223","CACNG3"
"224","CACNG4"
"225","CACNG5"
"226","CACNG6"
"227","CACNG7"
"228","CACNG8"
"229","CADM1"
"230","CADM2"
"231","CADM3"
"232","CADM4"
"233","CALCR"
"234","CALCRL"
"235","CALHM2"
"236","CALY"
"237","CASD1"
"238","CASR"
"239","CATSPERD"
"240","CATSPERG"
"241","CCKAR"
"242","CCKBR"
"243","CCR1"
"244","CCR10"
"245","CCR2"
"246","CCR3"
"247","CCR4"
"248","CCR5"
"249","CCR6"
"250","CCR7"
"251","CCR8"
"252","CCR9"
"253","CCRL2"
"254","CD101"
"255","CD109"
"256","CD14"
"257","CD151"
"258","CD160"
"259","CD163"
"260","CD163L1"
"261","CD164"
"262","CD164L2"
"263","CD177"
"264","CD180"
"265","CD19"
"266","CD1A"
"267","CD1B"
"268","CD1C"
"269","CD1D"
"270","CD1E"
"271","CD2"
"272","CD200"
"273","CD200R1"
"274","CD200R1L"
"275","CD207"
"276","CD209"
"277","CD22"
"278","CD226"
"279","CD24"
"280","CD244"
"281","CD247"
"282","CD248"
"283","CD27"
"284","CD274"
"285","CD276"
"286","CD28"
"287","CD300A"
"288","CD300C"
"289","CD300E"
"290","CD300LD"
"291","CD300LF"
"292","CD300LG"
"293","CD302"
"294","CD320"
"295","CD33"
"296","CD34"
"297","CD36"
"298","CD37"
"299","CD38"
"300","CD3D"
"301","CD3E"
"302","CD3G"
"303","CD4"
"304","CD40"
"305","CD40LG"
"306","CD44"
"307","CD46"
"308","CD47"
"309","CD48"
"310","CD5"
"311","CD52"
"312","CD53"
"313","CD55"
"314","CD58"
"315","CD59"
"316","CD6"
"317","CD63"
"318","CD68"
"319","CD69"
"320","CD7"
"321","CD70"
"322","CD72"
"323","CD74"
"324","CD79A"
"325","CD79B"
"326","CD80"
"327","CD81"
"328","CD82"
"329","CD83"
"330","CD84"
"331","CD86"
"332","CD8A"
"333","CD8B"
"334","CD8BP"
"335","CD9"
"336","CD93"
"337","CD96"
"338","CD97"
"339","CD99"
"340","CDCP1"
"341","CDH1"
"342","CDH10"
"343","CDH11"
"344","CDH12"
"345","CDH13"
"346","CDH15"
"347","CDH16"
"348","CDH17"
"349","CDH18"
"350","CDH19"
"351","CDH2"
"352","CDH20"
"353","CDH22"
"354","CDH23"
"355","CDH24"
"356","CDH26"
"357","CDH3"
"358","CDH4"
"359","CDH5"
"360","CDH6"
"361","CDH7"
"362","CDH8"
"363","CDH9"
"364","CDHR1"
"365","CDHR2"
"366","CDHR3"
"367","CDHR4"
"368","CDHR5"
"369","CDON"
"370","CEACAM1"
"371","CEACAM19"
"372","CEACAM20"
"373","CEACAM21"
"374","CEACAM3"
"375","CEACAM4"
"376","CEACAM5"
"377","CEACAM6"
"378","CEACAM7"
"379","CEACAM8"
"380","CELSR1"
"381","CELSR2"
"382","CELSR3"
"383","CFC1"
"384","CHL1"
"385","CHODL"
"386","CHPT1"
"387","CHRM1"
"388","CHRM2"
"389","CHRM3"
"390","CHRM4"
"391","CHRM5"
"392","CHRNA1"
"393","CHRNA10"
"394","CHRNA2"
"395","CHRNA3"
"396","CHRNA4"
"397","CHRNA5"
"398","CHRNA6"
"399","CHRNA7"
"400","CHRNA9"
"401","CHRNB1"
"402","CHRNB2"
"403","CHRNB3"
"404","CHRNB4"
"405","CHRND"
"406","CHRNE"
"407","CHRNG"
"408","CLCA2"
"409","CLCA4"
"410","CLCNKB"
"411","CLDN1"
"412","CLDN10"
"413","CLDN11"
"414","CLDN12"
"415","CLDN15"
"416","CLDN16"
"417","CLDN18"
"418","CLDN19"
"419","CLDN2"
"420","CLDN20"
"421","CLDN22"
"422","CLDN24"
"423","CLDN3"
"424","CLDN4"
"425","CLDN6"
"426","CLDN7"
"427","CLDN8"
