"","x"
"1","1110032F04Rik"
"2","1810055G02Rik"
"3","2900092C05Rik"
"4","5330417C22Rik"
"5","9330182L06Rik"
"6","9430015G10Rik"
"7","A2m"
"8","A2mp"
"9","Abca1"
"10","Abca12"
"11","Abca13"
"12","Abca2"
"13","Abca3"
"14","Abca4"
"15","Abca5"
"16","Abca6"
"17","Abca7"
"18","Abca8b"
"19","Abca9"
"20","Abcb11"
"21","Abcb1a"
"22","Abcb1b"
"23","Abcb4"
"24","Abcb5"
"25","Abcb9"
"26","Abcc1"
"27","Abcc10"
"28","Abcc12"
"29","Abcc2"
"30","Abcc3"
"31","Abcc4"
"32","Abcc5"
"33","Abcc9"
"34","Abcg3"
"35","Abcg4"
"36","Abcg5"
"37","Abhd14a"
"38","Acaa2"
"39","Acam"
"40","Accn2"
"41","Ace"
"42","Ace2"
"43","Ache"
"44","Ackr1"
"45","Ackr2"
"46","Ackr3"
"47","Ackr4"
"48","Acly"
"49","Acp2"
"50","Acsm2"
"51","Acvr1"
"52","Acvr1b"
"53","Acvr1c"
"54","Acvr2a"
"55","Acvr2b"
"56","Acvrl1"
"57","Adam10"
"58","Adam11"
"59","Adam12"
"60","Adam15"
"61","Adam17"
"62","Adam18"
"63","Adam2"
"64","Adam20"
"65","Adam21"
"66","Adam22"
"67","Adam23"
"68","Adam25"
"69","Adam28"
"70","Adam29"
"71","Adam30"
"72","Adam32"
"73","Adam33"
"74","Adam39"
"75","Adam7"
"76","Adam8"
"77","Adam9"
"78","Adamtsl4"
"79","Adcy2"
"80","Adcy3"
"81","Adcy5"
"82","Adcy6"
"83","Adcy7"
"84","Adcy9"
"85","Adcyap1r1"
"86","Adgre5"
"87","Adipor2"
"88","Adora1"
"89","Adora2a"
"90","Adora2b"
"91","Adora3"
"92","Adra1a"
"93","Adra1b"
"94","Adra1d"
"95","Adra2a"
"96","Adra2b"
"97","Adra2c"
"98","Adrb1"
"99","Adrb2"
"100","Adrb3"
"101","Afp"
"102","Ager"
"103","Agtr1a"
"104","Agtr1b"
"105","Agtr2"
"106","Ahsg"
"107","AI593442"
"108","Ajap1"
"109","Akp3"
"110","Alcam"
"111","Alk"
"112","Alpi"
"113","Alpl"
"114","Alppl2"
"115","Amhr2"
"116","Amica1"
"117","Amigo1"
"118","Amigo2"
