"","x"
"1","A1BG"
"2","A2M"
"3","A2ML1"
"4","ACHE"
"5","ACRBP"
"6","ADAM12"
"7","ADAMTS5"
"8","ADAMTS8"
"9","ADAMTSL1"
"10","ADAMTSL2"
"11","ADAMTSL4"
"12","ADM5"
"13","AGER"
"14","AHSG"
"15","ALB"
"16","AMBP"
"17","AMELX"
"18","AMELY"
"19","AMTN"
"20","AMY1A"
"21","AMY1B"
"22","AMY1C"
"23","AMY2A"
"24","AMY2B"
"25","ANG"
"26","ANGPTL8"
"27","ANOS1"
"28","AOC1"
"29","APOA4"
"30","APOA5"
"31","APOC1"
"32","APOC2"
"33","APOE"
"34","ASGR1"
"35","AVP"
"36","B2M"
"37","BCAN"
"38","BGLAP"
"39","BMP10"
"40","BMP2"
"41","BMP3"
"42","BMP4"
"43","BOLA3"
"44","BPIFB2"
"45","C12orf73"
"46","C14orf93"
"47","C15orf61"
"48","C16orf89"
"49","C17orf67"
"50","C1orf54"
"51","C1QA"
"52","C1QC"
"53","C1QTNF1"
"54","C1QTNF3"
"55","C1QTNF4"
"56","C1QTNF8"
"57","C2"
"58","C4BPB"
"59","C5orf38"
"60","C6orf15"
"61","C8A"
"62","C8G"
"63","C9orf72"
"64","CA6"
"65","CALCA"
"66","CARTPT"
"67","CBLN1"
"68","CBLN3"
"69","CCDC126"
"70","CCDC3"
"71","CCER2"
"72","CCK"
"73","CCL1"
"74","CCL11"
"75","CCL13"
"76","CCL14"
"77","CCL15"
"78","CCL16"
"79","CCL17"
"80","CCL18"
"81","CCL19"
"82","CCL2"
"83","CCL20"
"84","CCL21"
"85","CCL22"
"86","CCL23"
"87","CCL24"
"88","CCL25"
"89","CCL26"
"90","CCL27"
"91","CCL28"
"92","CCL3"
"93","CCL3L1"
"94","CCL3L3"
"95","CCL4"
"96","CCL4L1"
"97","CCL4L2"
"98","CCL5"
"99","CCL7"
"100","CCL8"
"101","CCN1"
"102","CCN3"
"103","CCN4"
"104","CCN5"
"105","CD200R1"
"106","CD40"
"107","CD55"
"108","CD59"
"109","CD8B"
"110","CDCP2"
"111","CDNF"
"112","CDSN"
"113","CELA2A"
"114","CELA2B"
"115","CFD"
"116","CFH"
"117","CFHR1"
"118","CFHR2"
"119","CFHR5"
"120","CFI"
"121","CGB1"
"122","CGB2"
"123","CGB3"
"124","CGB5"
"125","CGB8"
"126","CGREF1"
"127","CHADL"
"128","CHGA"
"129","CHI3L1"
