"","x"
"1","1190007I07Rik"
"2","1300017J02Rik"
"3","1500015O10Rik"
"4","2300002M23Rik"
"5","2300009A05Rik"
"6","2310057J18Rik"
"7","4931414P19Rik"
"8","9530003J23Rik"
"9","A1bg"
"10","A2m"
"11","Abhd15"
"12","Acan"
"13","Ache"
"14","Acpp"
"15","Acrbp"
"16","Adam12"
"17","Adamts15"
"18","Adamts5"
"19","Adamts8"
"20","Adamtsl1"
"21","Adamtsl2"
"22","Adamtsl4"
"23","Adcyap1"
"24","Ager"
"25","Agrp"
"26","Ahsg"
"27","Alb"
"28","Ambn"
"29","Ambp"
"30","Amelx"
"31","Amtn"
"32","Amy1"
"33","Amy2a2"
"34","Amy2a3"
"35","Amy2a4"
"36","Amy2a5"
"37","Ang"
"38","Ang2"
"39","Ang4"
"40","Ang5"
"41","Ang6"
"42","Angptl1"
"43","Angptl3"
"44","Angptl8"
"45","Aoah"
"46","Aoc1"
"47","Apcs"
"48","Apoa4"
"49","Apoa5"
"50","Apoc1"
"51","Apoc2"
"52","Apoe"
"53","Art5"
"54","Asgr1"
"55","AU021092"
"56","Avp"
"57","AY761185"
"58","Azgp1"
"59","B2m"
"60","BC028528"
"61","Bcan"
"62","Bche"
"63","Bglap"
"64","Bglap2"
"65","Bglap3"
"66","Bgn"
"67","Bmp10"
"68","Bmp2"
"69","Bmp3"
"70","Bmp4"
"71","Bmp7"
"72","Bola1"
"73","Bola3"
"74","Bpifa1"
"75","Bpifa3"
"76","Bpifb1"
"77","Bpifb2"
"78","Bpifb6"
"79","Brinp3"
"80","Bsph2"
"81","C1qa"
"82","C1qb"
"83","C1qc"
"84","C1ql4"
"85","C1qtnf1"
"86","C1qtnf2"
"87","C1qtnf3"
"88","C1qtnf4"
"89","C2"
"90","C8a"
"91","C8g"
"92","C9orf72"
"93","Calca"
"94","Car15"
"95","Car6"
"96","Cartpt"
"97","Cbln1"
"98","Cbln3"
"99","Ccdc126"
"100","Ccdc3"
"101","Ccer2"
"102","Cck"
"103","Ccl11"
"104","Ccl12"
"105","Ccl17"
"106","Ccl19"
"107","Ccl2"
"108","Ccl20"
"109","Ccl21a"
"110","Ccl21b"
"111","Ccl21c"
"112","Ccl22"
"113","Ccl24"
"114","Ccl25"
"115","Ccl27"
"116","Ccl27a"
"117","Ccl27b"
"118","Ccl28"
"119","Ccl3"
"120","Ccl4"
"121","Ccl5"
"122","Ccl6"
"123","Ccl7"
"124","Ccl8"
"125","Ccl9"
"126","Ccn1"
"127","Ccn3"
"128","Ccn4"
"129","Ccn5"
"130","Cd14"
"131","Cd200r1"
"132","Cd200r2"
"133","Cd200r3"
"134","Cd200r4"
"135","Cd40"
"136","Cd55"
"137","Cd55b"
"138","Cd59a"
"139","Cd59b"
"140","Cd5l"
"141","Cd8b1"
"142","Cdcp2"
"143","Cdnf"
"144","Cdsn"
"145","Ceacam1"
"146","Ceacam10"
"147","Ceacam11"
"148","Ceacam12"
"149","Ceacam13"
"150","Ceacam14"
"151","Ceacam15"
"152","Ceacam16"
"153","Ceacam2"
"154","Ceacam3"
"155","Ceacam5"
"156","Ceacam9"
"157","Cela2a"
"158","Cer1"
"159","Cfb"
"160","Cfd"
"161","Cfhr1"
"162","Cfi"
"163","Cfp"
"164","Cga"
"165","Cgref1"
"166","Chadl"
"167","Chga"
"168","Chgb"
"169","Chia1"
"170","Chid1"
"171","Chil1"
"172","Chil3"
"173","Chil4"
"174","Chit1"
"175","Chrd"
"176","Chrdl2"
"177","Chst9"
"178","Clca1"
"179","Clec11a"
"180","Clec18a"
"181","Clec3b"
"182","Clps"
"183","Clu"
"184","Cma1"
"185","Cnmd"
"186","Cntn4"
"187","Col10a1"
"188","Col11a2"
"189","Col12a1"
"190","Col18a1"
"191","Col1a1"
"192","Col1a2"
"193","Col2a1"
"194","Col3a1"
"195","Col4a6"
"196","Col5a2"
"197","Col5a3"
"198","Col6a2"
"199","Col6a3"
"200","Col6a4"
"201","Col9a2"
"202","Colec10"
"203","Colec11"
"204","Comp"
"205","Cpa2"
"206","Cpa6"
"207","Cpb1"
"208","Cpe"
"209","Cpn2"
"210","Cpz"
"211","Creg1"
"212","Crh"
"213","Crim1"
"214","Crispld2"
"215","Crlf2"
"216","Crtac1"
"217","Csf2"
"218","Csf2ra"
"219","Csn1s2b"
"220","Cst12"
"221","Cst3"
"222","Cst6"
"223","Cst9"
"224","Cstdc1"
"225","Cstl1"
"226","Ctf1"
"227","Ctf2"
"228","Cthrc1"
"229","Ctrb1"
"230","Cts7"
"231","Ctsb"
"232","Cx3cl1"
"233","Cxcl1"
"234","Cxcl10"
"235","Cxcl11"
"236","Cxcl12"
"237","Cxcl13"
"238","Cxcl14"
"239","Cxcl16"
"240","Cxcl17"
"241","Cxcl2"
"242","Cxcl5"
"243","Cxcl9"
"244","Cyb5d2"
"245","Cytl1"
"246","D130043K22Rik"
"247","Dcn"
"248","Ddr1"
"249","Defa17"
"250","Defa2"
"251","Defa20"
"252","Defa21"
"253","Defa22"
"254","Defa23"
"255","Defa24"
"256","Defa25"
"257","Defa26"
"258","Defa27"
"259","Defa28"
"260","Defa29"
"261","Defa3"
"262","Defa30"
"263","Defa31"
"264","Defa32"
"265","Defa33"
"266","Defa34"
"267","Defa35"
"268","Defa36"
"269","Defa37"
"270","Defa38"
"271","Defa39"
"272","Defa40"
"273","Defa41"
"274","Defa42"
"275","Defa43"
"276","Defa5"
"277","Defb10"
"278","Defb11"
"279","Defb12"
"280","Defb15"
"281","Defb19"
"282","Defb2"
"283","Defb21"
"284","Defb22"
"285","Defb26"
"286","Defb30"
"287","Defb34"
"288","Defb35"
"289","Defb38"
"290","Defb41"
"291","Defb42"
"292","Defb50"
"293","Defb6"
"294","Defb9"
"295","Dhh"
"296","Dhrs7c"
"297","Dipk2a"
"298","Dipk2b"
"299","Dkk1"
"300","Dkk2"
"301","Dkk4"
"302","Dkkl1"
"303","Dmkn"
"304","Dmp1"
"305","Dnase1"
"306","Doxl1"
"307","Doxl2"
"308","Dpt"
"309","Draxin"
"310","Ear1"
"311","Ear10"
"312","Ear14"
"313","Ear2"
"314","Ear6"
"315","Ebi3"
"316","Ecm1"
"317","Ecm2"
"318","Ecrg4"
"319","Eddm3b"
"320","Edn3"
"321","Efemp1"
"322","Efemp2"
"323","Efna1"
"324","Efna4"
"325","Egfl6"
"326","Egflam"
"327","Emc10"
"328","Emcn"
"329","Emid1"
"330","Endou"
"331","Epdr1"
"332","Epgn"
"333","Epo"
"334","Epyc"
"335","Erfe"
"336","F12"
"337","F7"
"338","Fam131a"
"339","Fam3a"
"340","Fam3b"
"341","Fas"
"342","Fasl"
"343","Fbln1"
"344","Fbln2"
"345","Fbln5"
"346","Fbln7"
"347","Fbn2"
"348","Fcgr4"
"349","Fcna"
"350","Fcnb"
"351","Fcrla"
"352","Fcrlb"
"353","Fga"
"354","Fgb"
"355","Fgf15"
"356","Fgf17"
"357","Fgf18"
"358","Fgf23"
"359","Fgf3"
"360","Fgf4"
"361","Fgf5"
"362","Fgf6"
"363","Fgf8"
"364","Fgf9"
"365","Fgfbp1"
"366","Fgfbp3"
"367","Fgg"
"368","Fmod"
"369","Fn1"
"370","Fndc5"
"371","Fndc7"
"372","Frem1"
"373","Fshb"
"374","Fstl1"
"375","Fstl3"
"376","Fstl4"
"377","Gabbr1"
"378","Gal"
"379","Galp"
"380","Gast"
"381","Gcg"
"382","Gdf10"
"383","Gdf11"
"384","Gdf15"
"385","Gdf3"
"386","Gdf5"
"387","Gdf9"
