Species	Symbol	Ensembl	Family	Protein	Entrez ID
Caenorhabditis_elegans	che-1	WBGene00000483	zf-C2H2	C55B7b;C55B7a;	183847
Caenorhabditis_elegans	ztf-26	WBGene00010137	zf-C2H2	F55H12c;F55H12b;F55H12a;	172699
Caenorhabditis_elegans	ceh-89	WBGene00009231	Homeobox	F28H6a;	181523
Caenorhabditis_elegans	dpy-20	WBGene00001079	zf-BED	T22B3;	178105
Caenorhabditis_elegans	hlh-32	WBGene00013665	bHLH	Y105C5B;	3565279
Caenorhabditis_elegans	R07E5.5	WBGene00011113	zf-C2H2	R07E5;	187681
Caenorhabditis_elegans	egrh-3	WBGene00044651	zf-C2H2	Y94H6Aa;	4363076
Caenorhabditis_elegans	nhr-61	WBGene00003651	Miscellaneous	W01D2b;W01D2b;W01D2a;W01D2b;W01D2a;W01D2a;	175142
Caenorhabditis_elegans	M03D4.4	WBGene00019751	zf-C2H2	M03D4b;M03D4a;	177375
Caenorhabditis_elegans	crh-2	WBGene00016162	TF_bZIP	C27D6d;C27D6a;C27D6c;C27D6b;C27D6a;	259434
Caenorhabditis_elegans	ham-2	WBGene00001821	zf-C2H2	C07A12a;C07A12b;	180727
Caenorhabditis_elegans	hmg-5	WBGene00001975	HMG	F45E4;	177543
Caenorhabditis_elegans	ceh-30	WBGene00000451	Homeobox	C33D12;C33D12;	191620
Caenorhabditis_elegans	nhr-40	WBGene00003630	Miscellaneous	T03G6b;T03G6c;T03G6a;	180560
Caenorhabditis_elegans	tbx-8	WBGene00006545	T-box	T07C4;	176450
Caenorhabditis_elegans	ceh-63	WBGene00045215	Homeobox	C02F12a;	6418830
Caenorhabditis_elegans	Y87G2A.19	WBGene00044260	zf-LITAF-like	Y87G2A;Y87G2A;	3565150
Caenorhabditis_elegans	nhr-237	WBGene00021610	Miscellaneous	Y46H3Da;Y46H3Db;	189970
Caenorhabditis_elegans	ceh-88	WBGene00008195	Homeobox	C49C3;	178514
Caenorhabditis_elegans	ztf-6	WBGene00012317	zf-C2H2	W06H12;	173014
Caenorhabditis_elegans	nhr-54	WBGene00003644	Miscellaneous	F36D3;	180106
Caenorhabditis_elegans	let-607	WBGene00002783	TF_bZIP	F57B10;F57B10;	266837
Caenorhabditis_elegans	tbx-38	WBGene00006557	T-box	C24H11;	182861
Caenorhabditis_elegans	nhr-139	WBGene00016365	Miscellaneous	C33G8;	183179
Caenorhabditis_elegans	tab-1	WBGene00006380	Homeobox	F31E8a;F31E8b;	185156
Caenorhabditis_elegans	C27A12.2	WBGene00016154	zf-C2H2	C27A12;	172281
Caenorhabditis_elegans	ceh-81	WBGene00018434	Homeobox	F45C12;	185767
