"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:10609","CCL1","C-C motif chemokine ligand 1","SCYA1","I-309,TCA3,P500,SISe","17q12"
"HGNC:10618","CCL2","C-C motif chemokine ligand 2","SCYA2","MCP1,MCP-1,MCAF,SMC-CF,GDCF-2,HC11,MGC9434","17q12"
"HGNC:10627","CCL3","C-C motif chemokine ligand 3","SCYA3","G0S19-1,LD78ALPHA,MIP-1-alpha","17q12"
"HGNC:10628","CCL3L1","C-C motif chemokine ligand 3 like 1","D17S1718,SCYA3L,SCYA3L1","G0S19-2,LD78BETA","17q12 alternate reference locus"
"HGNC:30554","CCL3L3","C-C motif chemokine ligand 3 like 3","","MGC12815","17q12"
"HGNC:10630","CCL4","C-C motif chemokine ligand 4","LAG1,SCYA4","MIP-1-beta,Act-2,AT744.1","17q12"
"HGNC:10631","CCL4L1","C-C motif chemokine ligand 4 like 1","SCYA4L,CCL4L","AT744.2,LAG-1","17q12 alternate reference locus"
"HGNC:24066","CCL4L2","C-C motif chemokine ligand 4 like 2","","","17q12"
"HGNC:10632","CCL5","C-C motif chemokine ligand 5","D17S136E,SCYA5","RANTES,SISd,TCP228,MGC17164","17q12"
"HGNC:10634","CCL7","C-C motif chemokine ligand 7","SCYA6,SCYA7","MCP-3,NC28,FIC,MARC,MCP3","17q12"
"HGNC:10635","CCL8","C-C motif chemokine ligand 8","SCYA8","MCP-2,HC14","17q12"
"HGNC:10610","CCL11","C-C motif chemokine ligand 11","SCYA11","eotaxin,MGC22554","17q12"
"HGNC:10611","CCL13","C-C motif chemokine ligand 13","SCYA13","MCP-4,NCC-1,SCYL1,CKb10,MGC17134","17q12"
"HGNC:10612","CCL14","C-C motif chemokine ligand 14","SCYA14","HCC-1,HCC-3,NCC-2,SCYL2,CKb1,MCIF","17q12"
"HGNC:10613","CCL15","C-C motif chemokine ligand 15","SCYA15","HCC-2,NCC-3,SCYL3,MIP-5,Lkn-1,MIP-1d,HMRP-2B","17q12"
"HGNC:10614","CCL16","C-C motif chemokine ligand 16","SCYA16","NCC-4,SCYL4,LEC,HCC-4,LMC,LCC-1,CKb12,Mtn-1","17q12"
"HGNC:10615","CCL17","C-C motif chemokine ligand 17","SCYA17","TARC,ABCD-2","16q21"
"HGNC:10616","CCL18","C-C motif chemokine ligand 18","SCYA18","DC-CK1,PARC,AMAC-1,DCCK1,MIP-4,CKb7","17q12"
"HGNC:10617","CCL19","C-C motif chemokine ligand 19","SCYA19","ELC,MIP-3b,exodus-3,CKb11","9p13.3"
"HGNC:10619","CCL20","C-C motif chemokine ligand 20","SCYA20","LARC,MIP-3a,exodus-1,ST38,CKb4","2q36.3"
"HGNC:10620","CCL21","C-C motif chemokine ligand 21","SCYA21","SLC,exodus-2,TCA4,CKb9,6Ckine,ECL","9p13.3"
"HGNC:10621","CCL22","C-C motif chemokine ligand 22","SCYA22","MDC,STCP-1,ABCD-1,DC/B-CK,A-152E5.1,MGC34554","16q21"
"HGNC:10622","CCL23","C-C motif chemokine ligand 23","SCYA23","Ckb-8,MPIF-1,MIP-3,CKb8","17q12"
"HGNC:10623","CCL24","C-C motif chemokine ligand 24","SCYA24","Ckb-6,MPIF-2,eotaxin-2,MPIF2","7q11.23"
"HGNC:10624","CCL25","C-C motif chemokine ligand 25","SCYA25","TECK,Ckb15","19p13.2"
"HGNC:10625","CCL26","C-C motif chemokine ligand 26","SCYA26","MIP-4alpha,eotaxin-3,IMAC,MIP-4a,TSC-1","7q11.23"
"HGNC:10626","CCL27","C-C motif chemokine ligand 27","SCYA27","ALP,ILC,CTACK,skinkine,ESkine,PESKY,CTAK","9p13.3"
"HGNC:17700","CCL28","C-C motif chemokine ligand 28","","SCYA28,MEC,CCK1","5p12"
"HGNC:4602","CXCL1","C-X-C motif chemokine ligand 1","MGSA,GRO1,FSP","SCYB1,GROa,MGSA-a,NAP-3","4q13.3"
"HGNC:4603","CXCL2","C-X-C motif chemokine ligand 2","GRO2","SCYB2,GROb,MIP-2a,MGSA-b,CINC-2a","4q13.3"
"HGNC:4604","CXCL3","C-X-C motif chemokine ligand 3","GRO3","SCYB3,GROg,MIP-2b,CINC-2b","4q13.3"
"HGNC:10642","CXCL5","C-X-C motif chemokine ligand 5","SCYB5","ENA-78","4q13.3"
"HGNC:10643","CXCL6","C-X-C motif chemokine ligand 6","SCYB6","GCP-2,CKA-3","4q13.3"
"HGNC:6025","CXCL8","C-X-C motif chemokine ligand 8","IL8","SCYB8,LUCT,LECT,MDNCF,TSG-1,IL-8,NAP-1,3-10C,MONAP,AMCF-I,LYNAP,NAF,b-ENAP,GCP-1,K60,GCP1,NAP1","4q13.3"
"HGNC:7098","CXCL9","C-X-C motif chemokine ligand 9","CMK,MIG","SCYB9,Humig,crg-10","4q21.1"
"HGNC:10637","CXCL10","C-X-C motif chemokine ligand 10","INP10,SCYB10","IFI10,IP-10,crg-2,mob-1,C7,gIP-10","4q21.1"
"HGNC:10638","CXCL11","C-X-C motif chemokine ligand 11","SCYB9B,SCYB11","H174,b-R1,I-TAC,IP-9","4q21.1"
"HGNC:10672","CXCL12","C-X-C motif chemokine ligand 12","SDF1A,SDF1B,SDF1","SCYB12,SDF-1a,SDF-1b,PBSF,TLSF-a,TLSF-b,TPAR1","10q11.21"
"HGNC:10639","CXCL13","C-X-C motif chemokine ligand 13","SCYB13","BLC,BCA-1,BLR1L,ANGIE,ANGIE2","4q21.1"
"HGNC:10640","CXCL14","C-X-C motif chemokine ligand 14","SCYB14","BRAK,NJAC,bolekine,Kec,MIP-2g,BMAC,KS1","5q31.1"
"HGNC:16642","CXCL16","C-X-C motif chemokine ligand 16","","SR-PSOX,CXCLG16,SRPSOX","17p13.2"
"HGNC:19232","CXCL17","C-X-C motif chemokine ligand 17","","Dcip1,UNQ473,DMC,VCC1","19q13.2"
"HGNC:10647","CX3CL1","C-X3-C motif chemokine ligand 1","SCYD1","NTN,C3Xkine,ABCD-3,CXC3C,CXC3,fractalkine,neurotactin","16q21"
"HGNC:10645","XCL1","X-C motif chemokine ligand 1","LTN,SCYC1","LPTN,ATAC,SCM-1a,SCM-1","1q24.2"
"HGNC:10646","XCL2","X-C motif chemokine ligand 2","SCYC2","SCM-1b","1q24.2"
