Species	Symbol	Ensembl	Family	Protein	Entrez ID
Macaca_mulatta	-	ENSMMUG00000002003	bHLH	ENSMMUP00000052357;ENSMMUP00000002682;	719835
Macaca_mulatta	ZNF202	ENSMMUG00000010646	zf-C2H2	ENSMMUP00000013949;	708814
Macaca_mulatta	TSC22D1	ENSMMUG00000003753	TSC22	ENSMMUP00000058417;	701076
Macaca_mulatta	ZNF594	ENSMMUG00000018648	zf-C2H2	ENSMMUP00000048075;	-
Macaca_mulatta	MEF2C	ENSMMUG00000019836	SRF	ENSMMUP00000058602;ENSMMUP00000042872;ENSMMUP00000026081;ENSMMUP00000026082;ENSMMUP00000060236;	694992
Macaca_mulatta	ZNF394	ENSMMUG00000020140	zf-C2H2	ENSMMUP00000050199;	718740
Macaca_mulatta	ZBTB24	ENSMMUG00000003678	ZBTB	ENSMMUP00000004903;ENSMMUP00000004903;	700290
Macaca_mulatta	NFYA	ENSMMUG00000021173	NF-YA	ENSMMUP00000051175;ENSMMUP00000027880;ENSMMUP00000052021;	719697
Macaca_mulatta	ZNF501	ENSMMUG00000038992	zf-C2H2	ENSMMUP00000059456;	715033
Macaca_mulatta	C10H20orf24	ENSMMUG00000008195	Homeobox	ENSMMUP00000037861;	100429616
Macaca_mulatta	HOXD12	ENSMMUG00000023501	Homeobox	ENSMMUP00000038103;	100428778
Macaca_mulatta	ZNF274	ENSMMUG00000020505	zf-C2H2	ENSMMUP00000027003;ENSMMUP00000027002;ENSMMUP00000027004;ENSMMUP00000048713;	712237
Macaca_mulatta	ZBTB2	ENSMMUG00000029475	ZBTB	ENSMMUP00000033224;ENSMMUP00000033224;	704782
Macaca_mulatta	MEIS1	ENSMMUG00000011216	Homeobox	ENSMMUP00000014702;ENSMMUP00000057456;ENSMMUP00000014698;	697685
Macaca_mulatta	STAT2	ENSMMUG00000000803	STAT	ENSMMUP00000001096;ENSMMUP00000057552;	712694
Macaca_mulatta	-	ENSMMUG00000022313	TF_bZIP	ENSMMUP00000043669;ENSMMUP00000029375;ENSMMUP00000029374;ENSMMUP00000060203;	703412
Macaca_mulatta	ZNF484	ENSMMUG00000002396	zf-C2H2	ENSMMUP00000038702;ENSMMUP00000003213;	711976
Macaca_mulatta	ZNF649	ENSMMUG00000037468	zf-C2H2	ENSMMUP00000044311;ENSMMUP00000051412;	106992441
Macaca_mulatta	ZNF502	ENSMMUG00000009542	zf-C2H2	ENSMMUP00000012479;	714915
Macaca_mulatta	ZBTB7B	ENSMMUG00000004053	ZBTB	ENSMMUP00000038906;ENSMMUP00000038906;ENSMMUP00000005415;	719006
Macaca_mulatta	ZKSCAN3	ENSMMUG00000018054	zf-C2H2	ENSMMUP00000009487;	707581
Macaca_mulatta	-	ENSMMUG00000049052	THAP	ENSMMUP00000042342;	-
Macaca_mulatta	ZNF107	ENSMMUG00000002042	zf-C2H2	ENSMMUP00000055983;ENSMMUP00000002730;ENSMMUP00000047907;ENSMMUP00000006938;	710268
