Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000002829,ENSG00000001617,ENST00000002829,0.831,0.871,PredHel=0,0.570739,"extr 20, lyso 7, E.R. 2, pero 2",0.429,Q13275
ENSP00000008938,ENSG00000008438,ENST00000008938,0.894,0.892,PredHel=0,0.978196,"extr 18, mito 8.5, cyto_mito 5.5, lyso 2",0.889,O75594
ENSP00000052754,ENSG00000011465,ENST00000052754,0.858,0.955,PredHel=0,0.85266,"extr 20, mito 5, lyso 4",0.557,P07585
ENSP00000053867,ENSG00000030582,ENST00000053867,0.864,0.944,PredHel=0,0.321257,"extr 26, lyso 3",0.635,P28799
ENSP00000054668,ENSG00000049247,ENST00000054668,0.213,0.169,PredHel=0,0.623974,"extr 17, cyto 8, cyto_nucl 6.83333, cyto_pero",0.945,O95399
ENSP00000061240,ENSG00000038295,ENST00000061240,0.358,0.945,PredHel=0,0.0462765,"extr 23, cyto 3, lyso 3, cyto_pero 3",0.48,O43897
ENSP00000165524,ENSG00000071677,ENST00000165524,0.891,0.907,PredHel=1,0.886976,"extr 15.5, mito 11, extr_plas 9, lyso 2, golg",0.822,P81277
ENSP00000166139,ENSG00000070404,ENST00000166139,0.724,0.938,PredHel=0,0.705936,"extr 20, nucl 7, mito 3",0.915,O95633
ENSP00000168712,ENSG00000075388,ENST00000168712,0.702,0.95,PredHel=1,0.267833,"extr 25, mito 3, E.R. 2, lyso 2",0.931,P08620
ENSP00000169293,ENSG00000127241,ENST00000169293,0.808,0.918,PredHel=0,0.650752,"extr 28, lyso 4",0.787,P48740
ENSP00000170150,ENSG00000078898,ENST00000170150,0.931,0.903,PredHel=1,0.970297,"extr 15, lyso 10, E.R. 4",0.75,Q8N4F0
ENSP00000176195,ENSG00000070031,ENST00000176195,0.892,0.916,PredHel=0,0.514564,"extr 28, mito 2",0.83,P09683
ENSP00000190983,ENSG00000064205,ENST00000190983,0.892,0.962,PredHel=0,0.940802,"extr 24, mito 3.5, cyto_mito 3, lyso 2",0.535,O76076
ENSP00000204604,ENSG00000090539,ENST00000204604,0.837,0.894,PredHel=0,0.523446,"extr 28, lyso 4",0.326,Q9H2X0
ENSP00000204615,ENSG00000090534,ENST00000204615,0.866,0.912,PredHel=0,0.985467,"extr 25, plas 3, cyto 1, E.R. 1, pero 1, lyso",0.446,P40225
ENSP00000211076,ENSG00000095917,ENST00000211076,0.932,0.987,PredHel=0,0.257531,"extr 22, plas 2, E.R. 2, pero 2, lyso 2",0.908,Q9BZJ3
ENSP00000215479,ENSG00000099721,ENST00000215479,0.903,0.908,PredHel=0,0.209939,"extr 21, mito 5, E.R. 4",0.486,Q99218
ENSP00000215539,ENSG00000099769,ENST00000215539,0.808,0.939,PredHel=0,0.589537,"extr 14, golg 8, lyso 7, extr_plas 7",0.544,P35858
ENSP00000215754,ENSG00000240972,ENST00000215754,0.128,0.152,PredHel=0,0.439213,"cyto_nucl 14.1667, cyto 11, nucl 9, cyto_pero",0.925,P14174
ENSP00000215781,ENSG00000099985,ENST00000215781,0.805,0.89,PredHel=0,0.426483,"extr 19.5, extr_plas 12.5, plas 4.5, golg 3, ",0.748,P13725
ENSP00000216241,ENSG00000100399,ENST00000216241,0.9,0.89,PredHel=0,0.141242,"extr 20, lyso 4, pero 3, golg 3",0.406,Q6NUI6
ENSP00000216286,ENSG00000087303,ENST00000216286,0.816,0.957,PredHel=0,0.505486,"extr 20.5, extr_plas 13, plas 4.5, E.R. 4",0.606,Q14112
ENSP00000216492,ENSG00000100604,ENST00000216492,0.907,0.944,PredHel=0,0.23253,"extr 23, E.R. 8",0.399,P10645
ENSP00000217305,ENSG00000101327,ENST00000217305,0.917,0.952,PredHel=0,0.795357,extr 30,0.938,P01213
ENSP00000217386,ENSG00000101405,ENST00000217386,0.884,0.946,PredHel=0,0.651221,extr 30,0.917,P01178
ENSP00000217407,ENSG00000129988,ENST00000217407,0.848,0.925,PredHel=0,0.988279,"extr 15, E.R. 10, lyso 4",0.618,P18428
ENSP00000217423,ENSG00000101441,ENST00000217423,0.918,0.949,PredHel=0,0.292216,extr 31,0.927,P01036
ENSP00000218230,ENSG00000102109,ENST00000218230,0.862,0.917,PredHel=1,0.869152,"extr 22, E.R. 5, pero 2",0.677,Q9UHG2
ENSP00000219022,ENSG00000102837,ENST00000219022,0.911,0.964,PredHel=0,0.361436,"extr 27, cyto 2, lyso 2",0.615,Q6UX06
ENSP00000219197,ENSG00000102924,ENST00000219197,0.812,0.957,PredHel=0,0.0656549,"extr 21, mito 6, E.R. 3, cyto_mito 3, mito_pe",0.895,P23435
ENSP00000219235,ENSG00000102962,ENST00000219235,0.912,0.987,PredHel=1,0.0359269,extr 32,0.942,O00626
ENSP00000219345,ENSG00000103066,ENST00000219345,0.808,0.975,PredHel=0,0.209105,"extr 19, E.R. 11",0.746,Q8NCC3
ENSP00000221421,ENSG00000104826,ENST00000221421,0.925,0.98,PredHel=0,0.92103,extr 29,0.967,P01229
ENSP00000221498,ENSG00000104901,ENST00000221498,0.919,0.976,PredHel=1,0.699164,extr 31,0.936,Q9UK85
ENSP00000221515,ENSG00000104918,ENST00000221515,0.773,0.976,PredHel=0,0.420926,extr 32,0.925,Q9HD89
ENSP00000221847,ENSG00000105246,ENST00000221847,0.825,0.847,PredHel=0,0.979629,"extr 24, lyso 4, mito 3",0.957,Q14213
ENSP00000222462,ENSG00000002745,ENST00000222462,0.539,0.979,PredHel=1,0.113777,extr 31,0.923,Q9UBV4
ENSP00000222481,ENSG00000158516,ENST00000222481,0.87,0.943,PredHel=0,0.818313,"extr 25, lyso 3, mito 2",0.748,P48052
ENSP00000222543,ENSG00000105825,ENST00000222543,0.812,0.959,PredHel=0,0.186027,"extr 28, lyso 2",0.479,P48307
ENSP00000222674,ENSG00000105954,ENST00000222674,0.588,0.935,PredHel=0,0.234426,extr 31,0.954,Q9HCQ7
ENSP00000223271,ENSG00000106538,ENST00000223271,0.831,0.9,PredHel=0,0.749357,extr 31,0.971,Q99969
ENSP00000224181,ENSG00000176919,ENST00000224181,0.748,0.891,PredHel=0,0.359854,"extr 21, pero 4, mito 3, golg 2, cyto_mito 2,",0.958,P07360
ENSP00000225831,ENSG00000108691,ENST00000225831,0.935,0.972,PredHel=0,0.0681067,extr 32,0.961,P13500
ENSP00000225842,ENSG00000108702,ENST00000225842,0.771,0.965,PredHel=0,0.189595,extr 31,0.906,P22362
ENSP00000225844,ENSG00000181374,ENST00000225844,0.876,0.953,PredHel=0,0.259614,extr 32,0.932,Q99616
ENSP00000225964,ENSG00000108821,ENST00000225964,0.859,0.949,PredHel=0,0.921698,"extr 19, E.R. 9, lyso 3",0.201,P02452
ENSP00000225992,ENSG00000108849,ENST00000225992,0.883,0.977,PredHel=0,0.615469,extr 30,0.921,P01298
