Species	Symbol	Ensembl	Family	Protein	Entrez ID
Drosophila_melanogaster	lilli	FBgn0041111	AF-4	FBpp0077318;FBpp0288479;FBpp0288478;FBpp0077317;FBpp0077319;FBpp0288480;FBpp0402856;FBpp0288477;FBpp0304731;	-
Drosophila_melanogaster	tna	FBgn0026160	zf-MIZ	FBpp0075996;FBpp0290872;FBpp0075997;	-
Drosophila_melanogaster	Atf6	FBgn0033010	TF_bZIP	FBpp0085417;FBpp0085415;FBpp0085416;	-
Drosophila_melanogaster	tio	FBgn0028979	zf-C2H2	FBpp0307374;FBpp0088404;	-
Drosophila_melanogaster	CG7372	FBgn0036522	zf-C2H2	FBpp0075323;	-
Drosophila_melanogaster	CG12054	FBgn0039831	zf-C2H2	FBpp0085120;FBpp0307392;FBpp0307391;	-
Drosophila_melanogaster	CG7786	FBgn0034096	TF_bZIP	FBpp0086334;	-
Drosophila_melanogaster	lab	FBgn0002522	Homeobox	FBpp0300396;FBpp0081194;	-
Drosophila_melanogaster	CG13775	FBgn0031874	zf-BED	FBpp0310332;FBpp0078991;	-
Drosophila_melanogaster	CG42741	FBgn0261705	zf-C2H2	FBpp0292301;	-
Drosophila_melanogaster	dsf	FBgn0015381	RXR-like	FBpp0305445;FBpp0078776;	-
Drosophila_melanogaster	Eip75B	FBgn0000568	THR-like	FBpp0074915;FBpp0074914;FBpp0074916;FBpp0074917;FBpp0297726;FBpp0297725;FBpp0312446;	-
Drosophila_melanogaster	Dfd	FBgn0000439	Homeobox	FBpp0081138;	-
Drosophila_melanogaster	E(spl)mdelta-HLH	FBgn0002734	bHLH	FBpp0084328;	-
Drosophila_melanogaster	CG30195	FBgn0050195	zf-LITAF-like	FBpp0071842;	-
Drosophila_melanogaster	CG14667	FBgn0037317	zf-C2H2	FBpp0099852;	-
Drosophila_melanogaster	Bap170	FBgn0042085	ARID	FBpp0085442;	-
Drosophila_melanogaster	CG13516	FBgn0040658	zf-LITAF-like	FBpp0309763;FBpp0100005;	-
Drosophila_melanogaster	CG12299	FBgn0032295	zf-C2H2	FBpp0079702;	-
Drosophila_melanogaster	net	FBgn0002931	bHLH	FBpp0303487;FBpp0288762;	-
Drosophila_melanogaster	Myb	FBgn0002914	MYB	FBpp0073961;FBpp0089403;FBpp0089405;FBpp0089402;	-
Drosophila_melanogaster	pad	FBgn0038418	zf-C2H2	FBpp0290729;	-
Drosophila_melanogaster	opa	FBgn0003002	zf-C2H2	FBpp0078477;	-
Drosophila_melanogaster	CG32006	FBgn0052006	Fork_head	FBpp0088237;	-
Drosophila_melanogaster	CG8944	FBgn0030680	zf-C2H2	FBpp0073981;	-
Drosophila_melanogaster	Rx	FBgn0020617	Homeobox	FBpp0309625;	-
Drosophila_melanogaster	salr	FBgn0000287	zf-C2H2	FBpp0079823;FBpp0079822;FBpp0297936;	-
Drosophila_melanogaster	CG3032	FBgn0029928	zf-C2H2	FBpp0070991;FBpp0311828;	-
Drosophila_melanogaster	CG12769	FBgn0033252	zf-C2H2	FBpp0087903;FBpp0087904;FBpp0308390;	-
Drosophila_melanogaster	CG2129	FBgn0030008	zf-C2H2	FBpp0071106;	-
Drosophila_melanogaster	Jarid2	FBgn0036004	ARID	FBpp0076196;	-
Drosophila_melanogaster	CG14655	FBgn0037275	zf-C2H2	FBpp0078521;	-
Drosophila_melanogaster	Dref	FBgn0015664	zf-BED	FBpp0079485;FBpp0302627;	-
Drosophila_melanogaster	CG3407	FBgn0031573	zf-C2H2	FBpp0077204;	-
Drosophila_melanogaster	srp	FBgn0003507	zf-GATA	FBpp0100052;FBpp0082670;FBpp0307407;FBpp0082669;FBpp0297354;FBpp0307406;	-
Drosophila_melanogaster	BEAF-32	FBgn0015602	zf-BED	FBpp0086572;FBpp0294039;	-
Drosophila_melanogaster	CG8388	FBgn0034062	zf-C2H2	FBpp0086401;	-
Drosophila_melanogaster	psq	FBgn0263102	HTH	FBpp0087372;FBpp0312422;FBpp0087368;FBpp0100066;FBpp0087369;FBpp0087373;FBpp0087374;FBpp0303457;FBpp0100067;FBpp0087371;FBpp0089330;FBpp0087370;	-
Drosophila_melanogaster	CG6765	FBgn0035903	ZBTB	FBpp0305269;FBpp0076347;FBpp0305268;	-
Drosophila_melanogaster	CG32280	FBgn0052280	zf-LITAF-like	FBpp0072894;FBpp0072895;FBpp0310626;FBpp0072896;	-
Drosophila_melanogaster	Su(var)2-10	FBgn0003612	zf-MIZ	FBpp0087652;FBpp0087657;FBpp0087656;FBpp0297644;FBpp0087659;FBpp0291669;FBpp0087654;FBpp0087655;FBpp0087653;FBpp0087651;FBpp0291668;FBpp0310445;FBpp0291667;FBpp0087658;	-
Drosophila_melanogaster	Pdp1	FBgn0016694	TF_bZIP	FBpp0076492;FBpp0297493;FBpp0304391;FBpp0289726;FBpp0076497;FBpp0312154;FBpp0076495;FBpp0289727;FBpp0304390;FBpp0304393;FBpp0304392;FBpp0076490;FBpp0076491;	-
Drosophila_melanogaster	odd	FBgn0002985	zf-C2H2	FBpp0077246;	-
Drosophila_melanogaster	Ets98B	FBgn0005659	ETS	FBpp0084594;FBpp0308422;	-
Drosophila_melanogaster	Oaz	FBgn0284250	zf-C2H2	FBpp0292053;FBpp0292052;	-
Drosophila_melanogaster	Mondo	FBgn0032940	bHLH	FBpp0081053;FBpp0081052;FBpp0290678;FBpp0290675;FBpp0290672;FBpp0290676;FBpp0290674;FBpp0081055;FBpp0290677;FBpp0290679;FBpp0290673;	-
Drosophila_melanogaster	Dr	FBgn0000492	Homeobox	FBpp0084807;	-
Drosophila_melanogaster	jumu	FBgn0015396	Fork_head	FBpp0081715;	-
Drosophila_melanogaster	CG4854	FBgn0038766	zf-C2H2	FBpp0083239;	-
Drosophila_melanogaster	gsb	FBgn0001148	PAX	FBpp0072349;	-
Drosophila_melanogaster	hkb	FBgn0261434	zf-C2H2	FBpp0078591;	-
Drosophila_melanogaster	CG7556	FBgn0030990	MYB	FBpp0309972;FBpp0074466;	-
Drosophila_melanogaster	CG1024	FBgn0027514	zf-C2H2	FBpp0288651;FBpp0304485;FBpp0304484;	-
Drosophila_melanogaster	CG42726	FBgn0261679	zf-C2H2	FBpp0292193;	-
Drosophila_melanogaster	Ssb-c31a	FBgn0015299	PC4	FBpp0079211;	-
Drosophila_melanogaster	CG2202	FBgn0030240	zf-C2H2	FBpp0073236;	-
Drosophila_melanogaster	Atf3	FBgn0028550	TF_bZIP	FBpp0311616;FBpp0303417;FBpp0070234;	-
Drosophila_melanogaster	gce	FBgn0261703	bHLH	FBpp0292296;FBpp0301991;FBpp0292297;FBpp0304153;	-
Drosophila_melanogaster	Doc2	FBgn0035956	T-box	FBpp0076274;	-
Drosophila_melanogaster	CG2116	FBgn0030003	zf-C2H2	FBpp0071103;	-
Drosophila_melanogaster	CG7386	FBgn0035691	zf-C2H2	FBpp0076707;	-
Drosophila_melanogaster	Lim3	FBgn0002023	Homeobox	FBpp0302972;FBpp0301568;FBpp0080713;FBpp0301566;FBpp0301567;FBpp0080712;FBpp0301569;	-
Drosophila_melanogaster	lbe	FBgn0011278	Homeobox	FBpp0083490;	-
